,Unnamed: 0,date,username,tweet,hashtags,nlikes,Sentiment,Score
110,110,2021-06-22 06:01:31,AlagbaKenneth," Nigeria in single digit inflation 2014 Local Rice Ofada; N7500👇🏿 Foreign Thai Rice; N8000 _adesina   In 6yrs (+border closure)  Local Rice Ofada+others; N25,000+  Foreign Thai Rice;.🎤   intervention on rice farming is key to curb food inflation on staples   ",[],0,NEGATIVE,0.9942
111,111,2021-06-21 20:11:49,omo_togbayi,"The rise in insecurity &amp; closure of Nigerian land border by Gen Buhari(retd) has had a -ve impact on residents in Ghana as recently seen by the increase in price of transportation, goods and services. How can West Africa survive/cope with  A one Nigeria? A divided Nigeria? /3",[],1,POSITIVE,0.9649
112,112,2021-06-18 21:30:14,mikecokere,"_ Because everything wrong with Nigeria is caused by Igbis or don't you know? From poverty, banditry, bad governance to border closure and educational backwardness in the North, all caused by Igbos. Mad people.",[],3,NEGATIVE,0.9972
113,113,2021-06-18 14:16:43,Sailorchronos,- Cdn health agency reports spike in Delta variant - Cda-US border closure extended to July 21 - GA removes 100K from voter rolls - Concerns grow about vaccine efficacy vs variants - More students abducted in Nigeria - Man makes toys from recycled cigarette butts - It's 10:00 PM,[],0,NEGATIVE,0.9889
114,114,2021-06-15 22:28:43,Gistclip,"Despite border closure, multiple bans and severe pains, Nigeria spends N3.1 trillion on Agric import in 2 years  ",[],0,NEGATIVE,0.9899
115,115,2021-06-15 17:25:51,Nairametrics,"Despite border closure, multiple bans and severe pains, Nigeria spends N3.1 trillion on Agric import in 2 years    ",[],10,NEGATIVE,0.9899
116,116,2021-06-13 07:12:37,Blackjiggy45,"Other tribes in Nigeria really think the  Igbo man needs Igbo presidency? We need a level playing ground on all sectors and a system that works. Not different cut off marks, selective border closure adherence  and seizing of importation licences.  If e sure for u open market.",[],0,NEGATIVE,0.9746
117,117,2021-06-09 19:46:04,MrOdanz,"If you remove ""border, rice and infrastructure"" from Buhari's vocabulary, that man will go dumb for the rest of his life.  Nigeria will be burning right in front of this man and he will be concerned about border closure, rice and infrastructure. Embarrassment.",[],214,NEGATIVE,0.9994
118,118,2021-06-07 23:03:10,kaynis1,"Just as the border closure which had no positive effect was a decision of a foolish man with the mental capacity of a cricket 🦗, so will twitter ban be to no positive effect on Nigerians. A dictator is in charge of Nigeria",[],0,NEGATIVE,0.9991
119,119,2021-06-07 10:34:10,egbonBlackbear,"Lol we should actually be cynical about western and Easter behavior in Africa always. Nigeria did not use USA as its case study for border closure, additionally it wasn't the NSA that Govt met with to discuss a Great Nigerian firewall. International diplomacy is about interests.",[],0,POSITIVE,0.7136
120,120,2021-06-07 03:26:11,lojodamojo," The only real loss financially is on Nigerians and Nigeria. Twitter can do without the Nigerian market, how much Una dey spend on advertising for the app? Can you compare it to those who are spending in £ &amp; $?  This is another ""own goal"" just like the border closure policy.",[],5,NEGATIVE,0.9977
121,121,2021-06-06 22:45:05,_SirWilliam_,"They can destroy Businessess on twitter because we let them do it to traders in an 18 months Border Closure.  Nigeria had a trade surplus with West Africa, lots of businessess were killed overnight.  And intellectuals here supported it..",[],966,NEGATIVE,0.9876
122,122,2021-06-05 22:26:00,cchukudebelu,"But Amaka Anku will find a way to defend it, or ""both sides"" it - just like she defended Buhari's border closure.  Her type will one day determine US policy in Nigeria - which helps you understand why US policy in Iraq/Middle East has been such a disaster over the past 20 years.",[],94,NEGATIVE,0.9626
123,123,2021-06-03 18:11:14,Olafocus1,"Since 2019 or thereabout, President  has prevented some parts of Nigeria from getting petroleum products in addition to closure of border areas in the South. So many businesses have closed shop, people in these areas keep struggling to live because of the harsh policies",[],0,NEGATIVE,0.9914
124,124,2021-06-02 04:36:17,jayjayehi,Talks in Todays Nigeria   Cows Open grazing Rice Border closure  30 killed Bandits  Civil War 97% vs 5% Kidnappings Ruga Cattle colony  Tufiakwa. Very medieval,[],0,NEGATIVE,0.9024
125,125,2021-06-02 03:19:25,UgoBenitez,  Talks in Todays Nigeria   Cows Open grazing Rice Border closure  30 killed Bandits  Civil War 97% vs 5% Kidnappings Ruga Cattle colony  Tufiakwa. Very medieval,[],36,NEGATIVE,0.9024
